provincename,cityName,confirmedCount,deadCount,dt
山西,长治,1,0,2020-01-25
内蒙古,锡林郭勒盟,2,0,2020-01-25
浙江,衢州,3,0,2020-01-25
内蒙古,鄂尔多斯,2,0,2020-01-25
内蒙古,满洲里,1,0,2020-01-25
内蒙古,赤峰,1,0,2020-01-25
内蒙古,呼伦贝尔牙克石市,1,0,2020-01-25
甘肃,兰州,4,0,2020-01-25
甘肃,白银市,1,0,2020-01-25
甘肃,临夏,1,0,2020-01-25
甘肃,定西,1,0,2020-01-25
贵州,铜仁,2,0,2020-01-25
贵州,贵阳,1,0,2020-01-25
浙江,丽水,3,0,2020-01-25
贵州,黔南州,1,0,2020-01-25
贵州,黔西南州,1,0,2020-01-25
吉林,吉林,2,0,2020-01-25
吉林,长春,1,0,2020-01-25
吉林,松原,1,0,2020-01-25
新疆,乌鲁木齐,3,0,2020-01-25
新疆,伊犁州,1,0,2020-01-25
宁夏,银川,1,0,2020-01-25
宁夏,中卫,1,0,2020-01-25
宁夏,固原,1,0,2020-01-25
浙江,舟山,2,0,2020-01-25
青海,西宁,1,0,2020-01-25
浙江,湖州,1,0,2020-01-25
广东,深圳,27,0,2020-01-25
广东,广州,14,0,2020-01-25
广东,佛山,10,0,2020-01-25
广东,珠海,10,0,2020-01-25
湖北,咸宁,43,0,2020-01-25
广东,惠州,8,0,2020-01-25
广东,阳江,6,0,2020-01-25
广东,湛江,4,0,2020-01-25
广东,肇庆,4,0,2020-01-25
广东,韶关,3,0,2020-01-25
广东,清远,3,0,2020-01-25
广东,揭阳,3,0,2020-01-25
广东,中山,2,0,2020-01-25
广东,东莞,2,0,2020-01-25
广东,汕头,2,0,2020-01-25
湖北,荆门,38,1,2020-01-25
河南,信阳,22,0,2020-01-25
河南,郑州,20,0,2020-01-25
河南,南阳,15,1,2020-01-25
河南,驻马店,7,0,2020-01-25
河南,周口,5,0,2020-01-25
河南,新乡,3,0,2020-01-25
河南,安阳市,3,0,2020-01-25
河南,漯河市,3,0,2020-01-25
河南,三门峡,2,0,2020-01-25
河南,平顶山,2,0,2020-01-25
湖北,随州,36,0,2020-01-25
河南,洛阳,1,0,2020-01-25
重庆,万州区,13,0,2020-01-25
重庆,长寿区,5,0,2020-01-25
重庆,忠县,5,0,2020-01-25
重庆,大渡口区,4,0,2020-01-25
重庆,渝北区,4,0,2020-01-25
重庆,开州区,4,0,2020-01-25
重庆,云阳县,4,0,2020-01-25
重庆,九龙坡区,3,0,2020-01-25
重庆,永川区,3,0,2020-01-25
湖北,荆州,33,2,2020-01-25
重庆,奉节县,3,0,2020-01-25
重庆,巫山县,3,0,2020-01-25
重庆,巫溪县,3,0,2020-01-25
重庆,两江新区,3,0,2020-01-25
重庆,石柱县,3,0,2020-01-25
重庆,江北区,2,0,2020-01-25
重庆,垫江县,2,0,2020-01-25
重庆,合川区,2,0,2020-01-25
重庆,璧山区,2,0,2020-01-25
重庆,铜梁区,1,0,2020-01-25
湖北,黄石,31,1,2020-01-25
重庆,大足区,1,0,2020-01-25
重庆,涪陵区,1,0,2020-01-25
重庆,秀山县,1,0,2020-01-25
重庆,梁平区,1,0,2020-01-25
重庆,城口县,1,0,2020-01-25
重庆,丰都县,1,0,2020-01-25
湖南,长沙,18,0,2020-01-25
湖南,怀化,8,0,2020-01-25
湖南,常德,7,0,2020-01-25
湖南,岳阳,6,0,2020-01-25
湖北,宜昌,20,1,2020-01-25
湖南,娄底,5,0,2020-01-25
湖南,永州,4,0,2020-01-25
湖南,益阳,4,0,2020-01-25
湖南,株洲,3,0,2020-01-25
湖南,湘潭,3,0,2020-01-25
湖南,郴州,3,0,2020-01-25
湖南,衡阳,3,0,2020-01-25
湖南,湘西自治州,3,0,2020-01-25
湖南,邵阳,2,0,2020-01-25
安徽,合肥,13,0,2020-01-25
湖北,十堰,20,0,2020-01-25
安徽,阜阳,10,0,2020-01-25
安徽,马鞍山,7,0,2020-01-25
安徽,亳州,6,0,2020-01-25
安徽,安庆,5,0,2020-01-25
安徽,六安,3,0,2020-01-25
安徽,铜陵,3,0,2020-01-25
安徽,芜湖,3,0,2020-01-25
安徽,滁州,2,0,2020-01-25
安徽,宿州,2,0,2020-01-25
安徽,池州,1,0,2020-01-25
湖北,武汉,698,63,2020-01-26
湖北,黄冈,154,4,2020-01-26
湖北,宜昌,31,1,2020-01-26
安徽,合肥,13,0,2020-01-26
安徽,阜阳,10,0,2020-01-26
安徽,安庆,8,0,2020-01-26
安徽,马鞍山,7,0,2020-01-26
安徽,亳州,6,0,2020-01-26
安徽,芜湖,6,0,2020-01-26
安徽,六安,3,0,2020-01-26
安徽,铜陵,3,0,2020-01-26
安徽,宿州,3,0,2020-01-26
安徽,蚌埠,3,0,2020-01-26
湖北,恩施州,25,0,2020-01-26
安徽,滁州,2,0,2020-01-26
安徽,淮南,2,0,2020-01-26
安徽,池州,1,0,2020-01-26
安徽,宣城,1,0,2020-01-26
安徽,淮北,1,0,2020-01-26
安徽,黄山,1,0,2020-01-26
四川,成都,33,0,2020-01-26
四川,绵阳,7,0,2020-01-26
四川,广安,6,0,2020-01-26
四川,达州,3,0,2020-01-26
湖北,鄂州,20,0,2020-01-26
四川,泸州,3,0,2020-01-26
四川,遂宁,2,0,2020-01-26
四川,自贡,2,0,2020-01-26
四川,南充,2,0,2020-01-26
四川,甘孜州,2,0,2020-01-26
四川,资阳,2,0,2020-01-26
四川,德阳,1,0,2020-01-26
四川,雅安,1,0,2020-01-26
四川,内江,1,0,2020-01-26
四川,乐山,1,0,2020-01-26
湖北,天门,13,0,2020-01-26
四川,眉山,1,0,2020-01-26
四川,宜宾,1,0,2020-01-26
四川,凉山州,1,0,2020-01-26
北京,海淀,16,0,2020-01-26
北京,外地来京人员,12,0,2020-01-26
北京,朝阳,11,0,2020-01-26
北京,昌平,7,0,2020-01-26
北京,通州,6,0,2020-01-26
北京,西城,5,0,2020-01-26
北京,丰台,4,0,2020-01-26
湖北,仙桃,12,0,2020-01-26
北京,大兴,3,0,2020-01-26
北京,石景山,2,0,2020-01-26
北京,顺义,1,0,2020-01-26
北京,东城,1,0,2020-01-26
山东,青岛,10,0,2020-01-26
山东,临沂,7,0,2020-01-26
山东,威海,7,0,2020-01-26
山东,济南,7,0,2020-01-26
山东,德州,6,0,2020-01-26
山东,日照,5,0,2020-01-26
湖北,潜江,5,1,2020-01-26
山东,济宁,5,0,2020-01-26
山东,烟台,4,0,2020-01-26
山东,潍坊,3,0,2020-01-26
山东,滨州,3,0,2020-01-26
山东,菏泽,3,0,2020-01-26
山东,淄博,2,0,2020-01-26
山东,聊城,1,0,2020-01-26
广东,广州,39,0,2020-01-26
广东,深圳,36,0,2020-01-26
广东,佛山,14,0,2020-01-26
广东,珠海,12,0,2020-01-26
湖北,孝感,100,1,2020-01-26
广东,惠州,8,0,2020-01-26
广东,阳江,8,0,2020-01-26
广东,湛江,5,0,2020-01-26
广东,肇庆,4,0,2020-01-26
广东,韶关,4,0,2020-01-26
广东,中山,4,0,2020-01-26
广东,清远,3,0,2020-01-26
广东,揭阳,3,0,2020-01-26
广东,东莞,2,0,2020-01-26
广东,汕头,2,0,2020-01-26
湖北,荆门,90,3,2020-01-26
广东,梅州,1,0,2020-01-26
广东,汕尾,1,0,2020-01-26
浙江,温州,32,0,2020-01-26
浙江,杭州,27,0,2020-01-26
浙江,台州,22,0,2020-01-26
浙江,宁波,13,0,2020-01-26
浙江,嘉兴,8,0,2020-01-26
浙江,绍兴,6,0,2020-01-26
浙江,金华,5,0,2020-01-26
浙江,衢州,5,0,2020-01-26
湖北,咸宁,64,0,2020-01-26
浙江,舟山,4,0,2020-01-26
浙江,丽水,3,0,2020-01-26
浙江,湖州,3,0,2020-01-26
河南,郑州,29,0,2020-01-26
河南,信阳,23,0,2020-01-26
河南,南阳,19,1,2020-01-26
河南,周口,11,0,2020-01-26
河南,驻马店,9,0,2020-01-26
河南,安阳市,7,0,2020-01-26
河南,漯河,6,0,2020-01-26
湖北,随州,52,0,2020-01-26
河南,商丘,6,0,2020-01-26
河南,平顶山,5,0,2020-01-26
河南,新乡,4,0,2020-01-26
河南,三门峡,3,0,2020-01-26
河南,洛阳,2,0,2020-01-26
河南,鹤壁,2,0,2020-01-26
河南,开封,1,0,2020-01-26
河南,许昌,1,0,2020-01-26
重庆,万州区,14,0,2020-01-26
重庆,云阳县,8,0,2020-01-26
湖北,荆州,47,2,2020-01-26
重庆,开州区,7,0,2020-01-26
重庆,两江新区,7,0,2020-01-26
重庆,长寿区,6,0,2020-01-26
重庆,忠县,6,0,2020-01-26
重庆,大渡口区,6,0,2020-01-26
重庆,渝北区,5,0,2020-01-26
重庆,巫山县,5,0,2020-01-26
重庆,巫溪县,5,0,2020-01-26
重庆,九龙坡区,4,0,2020-01-26
重庆,垫江县,4,0,2020-01-26
湖北,十堰,40,0,2020-01-26
重庆,永川区,3,0,2020-01-26
重庆,奉节县,3,0,2020-01-26
重庆,石柱县,3,0,2020-01-26
重庆,江北区,3,0,2020-01-26
重庆,合川区,3,0,2020-01-26
重庆,璧山区,3,0,2020-01-26
重庆,丰都县,3,0,2020-01-26
重庆,江津区,2,0,2020-01-26
重庆,潼南区,2,0,2020-01-26
重庆,铜梁区,1,0,2020-01-26
湖北,黄石,36,1,2020-01-26
重庆,大足区,1,0,2020-01-26
重庆,涪陵区,1,0,2020-01-26
重庆,秀山县,1,0,2020-01-26
重庆,梁平区,1,0,2020-01-26
重庆,城口县,1,0,2020-01-26
重庆,巴南区,1,0,2020-01-26
重庆,綦江区,1,0,2020-01-26
湖南,长沙,22,0,2020-01-26
湖南,常德,12,0,2020-01-26
湖南,怀化,11,0,2020-01-26
湖北,襄阳,36,0,2020-01-26
湖南,邵阳,8,0,2020-01-26
湖南,岳阳,7,0,2020-01-26
湖南,娄底,7,0,2020-01-26
湖南,益阳,7,0,2020-01-26
湖南,郴州,6,0,2020-01-26
湖南,株洲,5,0,2020-01-26
湖南,永州,4,0,2020-01-26
湖南,湘潭,4,0,2020-01-26
湖南,衡阳,4,0,2020-01-26
湖南,湘西自治州,3,0,2020-01-26
湖北,武汉,698,63,2020-01-27
湖北,黄冈,154,4,2020-01-27
湖北,宜昌,31,1,2020-01-27
安徽,合肥,13,0,2020-01-27
安徽,阜阳,10,0,2020-01-27
安徽,安庆,8,0,2020-01-27
安徽,马鞍山,7,0,2020-01-27
安徽,亳州,6,0,2020-01-27
安徽,芜湖,6,0,2020-01-27
安徽,六安,3,0,2020-01-27
安徽,铜陵,3,0,2020-01-27
安徽,宿州,3,0,2020-01-27
安徽,蚌埠,3,0,2020-01-27
湖北,恩施州,25,0,2020-01-27
安徽,滁州,2,0,2020-01-27
安徽,淮南,2,0,2020-01-27
安徽,池州,1,0,2020-01-27
安徽,宣城,1,0,2020-01-27
安徽,淮北,1,0,2020-01-27
安徽,黄山,1,0,2020-01-27
四川,成都,33,0,2020-01-27
四川,绵阳,7,0,2020-01-27
四川,广安,6,0,2020-01-27
四川,达州,3,0,2020-01-27
湖北,鄂州,20,0,2020-01-27
四川,泸州,3,0,2020-01-27
四川,遂宁,2,0,2020-01-27
四川,自贡,2,0,2020-01-27
四川,南充,2,0,2020-01-27
四川,甘孜州,2,0,2020-01-27
四川,资阳,2,0,2020-01-27
四川,德阳,1,0,2020-01-27
四川,雅安,1,0,2020-01-27
四川,内江,1,0,2020-01-27
四川,乐山,1,0,2020-01-27
湖北,天门,13,0,2020-01-27
四川,眉山,1,0,2020-01-27
四川,宜宾,1,0,2020-01-27
四川,凉山州,1,0,2020-01-27
北京,海淀,16,0,2020-01-27
北京,外地来京人员,12,0,2020-01-27
北京,朝阳,11,0,2020-01-27
北京,昌平,7,0,2020-01-27
北京,通州,6,0,2020-01-27
北京,西城,5,0,2020-01-27
北京,丰台,4,0,2020-01-27
湖北,仙桃,12,0,2020-01-27
北京,大兴,3,0,2020-01-27
北京,石景山,2,0,2020-01-27
北京,顺义,1,0,2020-01-27
北京,东城,1,0,2020-01-27
山东,青岛,10,0,2020-01-27
山东,临沂,7,0,2020-01-27
山东,威海,7,0,2020-01-27
山东,济南,7,0,2020-01-27
山东,德州,6,0,2020-01-27
山东,日照,5,0,2020-01-27
湖北,潜江,5,1,2020-01-27
山东,济宁,5,0,2020-01-27
山东,烟台,4,0,2020-01-27
山东,潍坊,3,0,2020-01-27
山东,滨州,3,0,2020-01-27
山东,菏泽,3,0,2020-01-27
山东,淄博,2,0,2020-01-27
山东,聊城,1,0,2020-01-27
广东,广州,39,0,2020-01-27
广东,深圳,36,0,2020-01-27
广东,佛山,14,0,2020-01-27
广东,珠海,12,0,2020-01-27
湖北,孝感,100,1,2020-01-27
广东,惠州,8,0,2020-01-27
广东,阳江,8,0,2020-01-27
广东,湛江,5,0,2020-01-27
广东,肇庆,4,0,2020-01-27
广东,韶关,4,0,2020-01-27
广东,中山,4,0,2020-01-27
广东,清远,3,0,2020-01-27
广东,揭阳,3,0,2020-01-27
广东,东莞,2,0,2020-01-27
广东,汕头,2,0,2020-01-27
湖北,荆门,90,3,2020-01-27
广东,梅州,1,0,2020-01-27
广东,汕尾,1,0,2020-01-27
浙江,温州,32,0,2020-01-27
浙江,杭州,27,0,2020-01-27
浙江,台州,22,0,2020-01-27
浙江,宁波,13,0,2020-01-27
浙江,嘉兴,8,0,2020-01-27
浙江,绍兴,6,0,2020-01-27
浙江,金华,5,0,2020-01-27
浙江,衢州,5,0,2020-01-27
湖北,咸宁,64,0,2020-01-27
浙江,舟山,4,0,2020-01-27
浙江,丽水,3,0,2020-01-27
浙江,湖州,3,0,2020-01-27
河南,郑州,29,0,2020-01-27
河南,信阳,23,0,2020-01-27
河南,南阳,19,1,2020-01-27
河南,周口,11,0,2020-01-27
河南,驻马店,9,0,2020-01-27
河南,安阳市,7,0,2020-01-27
河南,漯河,6,0,2020-01-27
湖北,随州,52,0,2020-01-27
河南,商丘,6,0,2020-01-27
河南,平顶山,5,0,2020-01-27
河南,新乡,4,0,2020-01-27
河南,三门峡,3,0,2020-01-27
河南,洛阳,2,0,2020-01-27
河南,鹤壁,2,0,2020-01-27
河南,开封,1,0,2020-01-27
河南,许昌,1,0,2020-01-27
重庆,万州区,14,0,2020-01-27
重庆,云阳县,8,0,2020-01-27
湖北,荆州,47,2,2020-01-27
重庆,开州区,7,0,2020-01-27
重庆,两江新区,7,0,2020-01-27
重庆,长寿区,6,0,2020-01-27
重庆,忠县,6,0,2020-01-27
重庆,大渡口区,6,0,2020-01-27
重庆,渝北区,5,0,2020-01-27
重庆,巫山县,5,0,2020-01-27
重庆,巫溪县,5,0,2020-01-27
重庆,九龙坡区,4,0,2020-01-27
重庆,垫江县,4,0,2020-01-27
湖北,十堰,40,0,2020-01-27
重庆,永川区,3,0,2020-01-27
重庆,奉节县,3,0,2020-01-27
重庆,石柱县,3,0,2020-01-27
重庆,江北区,3,0,2020-01-27
重庆,合川区,3,0,2020-01-27
重庆,璧山区,3,0,2020-01-27
重庆,丰都县,3,0,2020-01-27
重庆,江津区,2,0,2020-01-27
重庆,潼南区,2,0,2020-01-27
重庆,铜梁区,1,0,2020-01-27
湖北,黄石,36,1,2020-01-27
重庆,大足区,1,0,2020-01-27
重庆,涪陵区,1,0,2020-01-27
重庆,秀山县,1,0,2020-01-27
重庆,梁平区,1,0,2020-01-27
重庆,城口县,1,0,2020-01-27
重庆,巴南区,1,0,2020-01-27
重庆,綦江区,1,0,2020-01-27
湖南,长沙,22,0,2020-01-27
湖南,常德,12,0,2020-01-27
湖南,怀化,11,0,2020-01-27
湖北,襄阳,36,0,2020-01-27
湖南,邵阳,8,0,2020-01-27
湖南,岳阳,7,0,2020-01-27
湖南,娄底,7,0,2020-01-27
湖南,益阳,7,0,2020-01-27
湖南,郴州,6,0,2020-01-27
湖南,株洲,5,0,2020-01-27
湖南,永州,4,0,2020-01-27
湖南,湘潭,4,0,2020-01-27
湖南,衡阳,4,0,2020-01-27
湖南,湘西自治州,3,0,2020-01-27
湖北,武汉,1905,104,2020-01-28
湖北,黄冈,324,5,2020-01-28
湖北,鄂州,84,1,2020-01-28
重庆,大渡口区,6,0,2020-01-28
重庆,渝北区,6,0,2020-01-28
重庆,江北区,5,0,2020-01-28
重庆,九龙坡区,5,0,2020-01-28
重庆,合川区,5,0,2020-01-28
重庆,垫江县,5,0,2020-01-28
重庆,巫山县,5,0,2020-01-28
重庆,巫溪县,5,0,2020-01-28
重庆,綦江区,4,0,2020-01-28
重庆,璧山区,4,0,2020-01-28
湖北,宜昌,63,1,2020-01-28
重庆,奉节县,4,0,2020-01-28
重庆,永川区,3,0,2020-01-28
重庆,丰都县,3,0,2020-01-28
重庆,江津区,2,0,2020-01-28
重庆,铜梁区,2,0,2020-01-28
重庆,潼南区,2,0,2020-01-28
重庆,涪陵区,1,0,2020-01-28
重庆,巴南区,1,0,2020-01-28
重庆,大足区,1,0,2020-01-28
重庆,梁平区,1,0,2020-01-28
湖北,恩施州,51,0,2020-01-28
重庆,城口县,1,0,2020-01-28
重庆,秀山县,1,0,2020-01-28
重庆,黔江区,1,0,2020-01-28
重庆,南岸区,1,0,2020-01-28
重庆,渝中区,1,0,2020-01-28
山东,青岛,15,0,2020-01-28
山东,临沂,15,0,2020-01-28
山东,威海,11,0,2020-01-28
山东,济南,11,0,2020-01-28
山东,德州,11,0,2020-01-28
湖北,天门,34,3,2020-01-28
山东,烟台,10,0,2020-01-28
山东,枣庄,8,0,2020-01-28
山东,日照,7,0,2020-01-28
山东,菏泽,7,0,2020-01-28
山东,滨州,6,0,2020-01-28
山东,潍坊,5,0,2020-01-28
山东,济宁,5,0,2020-01-28
山东,淄博,4,0,2020-01-28
山东,聊城,3,0,2020-01-28
山东,泰安,3,0,2020-01-28
湖北,仙桃,32,0,2020-01-28
江西,南昌,25,0,2020-01-28
江西,九江,16,0,2020-01-28
江西,赣州,16,0,2020-01-28
江西,宜春,14,0,2020-01-28
江西,新余,11,0,2020-01-28
江西,抚州,9,0,2020-01-28
江西,上饶,9,0,2020-01-28
江西,吉安,4,0,2020-01-28
江西,萍乡,2,0,2020-01-28
江西,景德镇,2,0,2020-01-28
湖北,潜江,8,1,2020-01-28
江西,鹰潭,1,0,2020-01-28
四川,成都,46,0,2020-01-28
四川,绵阳,8,0,2020-01-28
四川,广安,7,0,2020-01-28
四川,自贡,7,0,2020-01-28
四川,泸州,5,0,2020-01-28
四川,南充,5,0,2020-01-28
四川,达州,4,0,2020-01-28
四川,内江,4,0,2020-01-28
四川,遂宁,3,0,2020-01-28
湖北,神农架林区,3,0,2020-01-28
四川,甘孜州,3,0,2020-01-28
四川,德阳,2,0,2020-01-28
四川,雅安,2,0,2020-01-28
四川,乐山,2,0,2020-01-28
四川,宜宾,2,0,2020-01-28
四川,凉山,2,0,2020-01-28
四川,资阳,2,0,2020-01-28
四川,巴中,2,0,2020-01-28
四川,眉山,1,0,2020-01-28
四川,广元,1,0,2020-01-28
浙江,温州,114,0,2020-01-28
江苏,苏州,20,0,2020-01-28
江苏,南京,14,0,2020-01-28
江苏,无锡,9,0,2020-01-28
江苏,扬州,8,0,2020-01-28
江苏,常州,8,0,2020-01-28
江苏,泰州,8,0,2020-01-28
江苏,徐州,8,0,2020-01-28
江苏,南通,6,0,2020-01-28
江苏,盐城,6,0,2020-01-28
江苏,宿迁,4,0,2020-01-28
浙江,杭州,51,0,2020-01-28
江苏,连云港,3,0,2020-01-28
江苏,淮安,3,0,2020-01-28
江苏,镇江,2,0,2020-01-28
北京,海淀,21,0,2020-01-28
北京,朝阳,17,0,2020-01-28
北京,外地来京人员,11,0,2020-01-28
北京,西城,8,0,2020-01-28
北京,昌平,7,0,2020-01-28
北京,通州,7,0,2020-01-28
北京,丰台,7,0,2020-01-28
浙江,台州,40,0,2020-01-28
北京,大兴,7,0,2020-01-28
北京,石景山,2,0,2020-01-28
北京,顺义,2,0,2020-01-28
北京,东城,2,0,2020-01-28
福建,福州,24,0,2020-01-28
福建,莆田,14,0,2020-01-28
福建,泉州,13,0,2020-01-28
福建,三明,8,0,2020-01-28
福建,宁德,7,0,2020-01-28
福建,厦门,6,0,2020-01-28
湖北,孝感,274,3,2020-01-28
浙江,宁波,20,0,2020-01-28
福建,漳州,6,0,2020-01-28
福建,南平,3,0,2020-01-28
福建,龙岩,1,0,2020-01-28
上海,外地来沪人员,40,0,2020-01-28
上海,浦东,12,0,2020-01-28
上海,静安,7,0,2020-01-28
上海,长宁,5,0,2020-01-28
上海,徐汇,3,0,2020-01-28
上海,黄浦,3,0,2020-01-28
上海,虹口,2,0,2020-01-28
浙江,绍兴,19,0,2020-01-28
上海,闵行,2,0,2020-01-28
上海,青浦,2,0,2020-01-28
上海,宝山,2,0,2020-01-28
上海,嘉定,1,0,2020-01-28
上海,奉贤,1,0,2020-01-28
浙江,嘉兴,14,0,2020-01-28
浙江,金华,13,0,2020-01-28
浙江,衢州,8,0,2020-01-28
浙江,舟山,6,0,2020-01-28
浙江,丽水,6,0,2020-01-28
浙江,湖州,5,0,2020-01-28
广东,广州,63,0,2020-01-28
广东,深圳,63,0,2020-01-28
湖北,荆门,142,4,2020-01-28
广东,佛山,18,0,2020-01-28
广东,珠海,14,0,2020-01-28
广东,惠州,12,0,2020-01-28
广东,中山,12,0,2020-01-28
广东,阳江,10,0,2020-01-28
广东,湛江,7,0,2020-01-28
广东,东莞,7,0,2020-01-28
广东,清远,6,0,2020-01-28
广东,汕头,6,0,2020-01-28
广东,揭阳,6,0,2020-01-28
湖北,襄阳,131,0,2020-01-28
广东,肇庆,5,0,2020-01-28
广东,韶关,4,0,2020-01-28
广东,梅州,4,0,2020-01-28
广东,茂名,2,0,2020-01-28
广东,汕尾,1,0,2020-01-28
广东,河源,1,0,2020-01-28
湖南,长沙,46,0,2020-01-28
湖南,岳阳,26,0,2020-01-28
湖南,常德,26,0,2020-01-28
湖南,邵阳,19,0,2020-01-28
湖北,随州,116,0,2020-01-28
湖南,怀化,18,0,2020-01-28
湖南,衡阳,17,0,2020-01-28
湖南,益阳,14,0,2020-01-28
湖南,株洲,13,0,2020-01-28
湖南,娄底,13,0,2020-01-28
湖南,永州,11,0,2020-01-28
湖南,湘潭,8,0,2020-01-28
湖南,郴州,7,0,2020-01-28
湖南,湘西自治州,3,0,2020-01-28
河南,郑州,40,0,2020-01-28
湖北,咸宁,112,0,2020-01-28
河南,信阳,32,0,2020-01-28
河南,南阳,31,1,2020-01-28
河南,周口,19,0,2020-01-28
河南,驻马店,16,0,2020-01-28
河南,安阳市,14,0,2020-01-28
河南,商丘,14,0,2020-01-28
河南,漯河市,9,0,2020-01-28
河南,新乡,7,0,2020-01-28
河南,平顶山,5,0,2020-01-28
河南,鹤壁,5,0,2020-01-28
湖北,荆州,101,2,2020-01-28
河南,三门峡,4,0,2020-01-28
河南,开封,3,0,2020-01-28
